doc_id,label
0,27
1,11
2,44
3,4
4,20
5,42
6,21
7,3
8,28
9,35
10,20
11,23
12,4
13,48
14,46
15,4
16,28
17,21
18,21
19,33
20,21
21,20
22,28
23,41
24,4
25,35
26,20
27,35
28,42
29,21
30,46
31,46
32,35
33,21
34,28
35,35
36,21
37,39
38,20
39,35
40,12
41,49
42,47
43,4
44,35
45,27
46,4
47,35
48,32
49,35
50,11
51,32
52,21
53,44
54,4
55,42
56,4
57,4
58,12
59,28
60,12
61,4
62,35
63,21
64,35
65,21
66,35
67,35
68,42
69,35
70,28
71,4
72,27
73,49
74,4
75,48
76,4
77,28
78,21
79,27
80,42
81,4
82,21
83,23
84,21
85,4
86,21
87,4
88,12
89,28
90,21
91,35
92,4
93,35
94,21
95,20
96,4
97,4
98,4
99,4
100,21
101,35
102,35
103,12
104,35
105,35
106,35
107,21
108,11
109,28
110,27
111,4
112,4
113,4
114,20
115,46
116,48
117,20
118,35
119,4
120,21
121,35
122,35
123,35
124,20
125,21
126,12
127,4
128,42
129,21
130,27
131,32
132,35
133,42
134,21
135,20
136,16
137,4
138,35
139,4
140,35
141,35
142,35
143,35
144,35
145,35
146,4
147,35
148,28
149,20
150,35
151,20
152,35
153,11
154,35
155,32
156,35
157,4
158,35
159,21
160,4
161,21
162,35
163,13
164,4
165,35
166,20
167,20
168,21
169,11
170,20
171,4
172,35
173,12
174,35
175,42
176,28
177,21
178,4
179,49
180,4
181,27
182,4
183,4
184,35
185,20
186,4
187,21
188,27
189,4
190,21
191,28
192,28
193,28
194,11
195,20
196,21
197,35
198,33
199,27
200,35
201,35
202,35
203,4
204,32
205,12
206,4
207,20
208,21
209,21
210,21
211,35
212,44
213,28
214,35
215,12
216,8
217,40
218,35
219,27
220,35
221,48
222,28
223,4
224,4
225,10
226,40
227,12
228,35
229,33
230,3
231,35
232,28
233,35
234,21
235,35
236,35
237,21
238,40
239,21
240,27
241,20
242,20
243,21
244,35
245,4
246,4
247,21
248,20
249,35
250,28
251,20
252,35
253,35
254,35
255,21
256,48
257,35
258,35
259,21
260,35
261,20
262,11
263,21
264,4
265,20
266,48
267,11
268,21
269,20
270,4
271,27
272,21
273,9
274,21
275,27
276,49
277,11
278,28
279,3
280,20
281,35
282,20
283,20
284,20
285,20
286,20
287,20
288,20
289,20
290,20
291,20
292,20
293,20
294,20
295,21
296,12
297,12
298,21
299,35
300,27
301,35
302,28
303,4
304,46
305,4
306,12
307,35
308,4
309,35
310,41
311,35
312,35
313,20
314,35
315,20
316,20
317,35
318,4
319,35
320,11
321,35
322,20
323,35
324,20
325,20
326,46
327,35
328,35
329,35
330,8
331,4
332,35
333,28
334,12
335,28
336,28
337,35
338,35
339,4
340,20
341,4
342,35
343,35
344,21
345,12
346,35
347,48
348,33
349,4
350,48
351,35
352,48
353,32
354,21
355,4
356,21
357,20
358,4
359,20
360,11
361,11
362,11
363,35
364,42
365,42
366,48
367,23
368,35
369,11
370,29
371,21
372,4
373,35
374,21
375,46
376,4
377,35
378,11
379,21
380,21
381,35
382,35
383,11
384,48
385,4
386,35
387,11
388,32
389,28
390,0
391,35
392,21
393,28
394,20
